"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Cody Stanley","Cardinals",".400","0","0.0 %","30.0 %",".400","28.6 %","57.1 %","14.3 %","152","85.0 %","78.6 %","49.0 %","4.1 %","8.2 %","2.0 %","4.1 %","-1.39","36.69","11.34","-3.67","1.71","34.8 %","76.9 %","57.1 %","75.0 %","80.0 %","78.6 %","14.3 %","71.4 %","14.3 %","10838"
"Josh Donaldson","- - -",".276","156","14.0 %","20.5 %",".382","19.1 %","42.1 %","38.8 %","146","81.0 %","74.3 %","34.9 %","5.5 %","19.5 %","7.5 %","9.0 %","1.83","0.32","-0.09","0.59","1.94","24.3 %","65.5 %","43.4 %","57.3 %","81.6 %","74.3 %","45.4 %","30.7 %","23.9 %","5038"
"Keston Hiura","Brewers",".303","19","7.2 %","30.7 %",".368","24.0 %","38.0 %","38.0 %","139","76.9 %","65.8 %","38.4 %","6.9 %","16.0 %","9.4 %","6.2 %","1.39","-1.00","3.38","-0.87","1.57","32.2 %","71.7 %","51.4 %","41.1 %","77.5 %","65.8 %","30.3 %","40.4 %","29.3 %","20003"
"Freddie Freeman","Braves",".299","141","12.1 %","20.2 %",".390","28.5 %","35.4 %","36.1 %","142","82.4 %","76.2 %","33.7 %","5.0 %","16.9 %","8.2 %","14.0 %","1.63","0.55","0.12","1.59","0.93","33.1 %","78.2 %","52.7 %","66.6 %","81.4 %","76.2 %","40.2 %","32.2 %","27.6 %","5361"
"Nelson Cruz","- - -",".288","204","9.8 %","23.3 %",".367","18.7 %","43.0 %","38.3 %","149","82.1 %","71.1 %","31.9 %","6.1 %","20.9 %","7.8 %","9.8 %","1.68","0.55","0.05","1.50","2.37","30.5 %","68.6 %","47.3 %","50.2 %","82.9 %","71.2 %","40.7 %","35.7 %","23.6 %","2434"
"J.P. Arencibia","Rays",".310","6","1.4 %","30.1 %",".315","22.0 %","36.0 %","42.0 %","151","78.2 %","68.6 %","48.5 %","1.9 %","16.9 %","9.2 %","7.3 %","2.49","-9.37","-2.94","1.50","4.19","51.4 %","70.7 %","60.0 %","59.5 %","76.8 %","68.6 %","54.0 %","28.0 %","18.0 %","697"
"Nolan Arenado","Rockies",".300","199","8.9 %","15.8 %",".362","20.3 %","35.8 %","43.9 %","127","88.3 %","79.8 %","36.0 %","6.3 %","20.6 %","8.9 %","8.7 %","1.43","1.33","-0.29","1.95","2.07","33.7 %","70.1 %","50.3 %","64.2 %","88.7 %","79.8 %","42.3 %","34.3 %","23.3 %","9777"
"Paul Goldschmidt","- - -",".293","160","14.3 %","22.9 %",".397","22.8 %","42.3 %","34.9 %","140","81.9 %","76.8 %","34.0 %","6.2 %","20.3 %","8.2 %","8.6 %","1.40","1.91","0.48","1.51","2.03","24.8 %","61.9 %","41.7 %","65.3 %","82.0 %","76.6 %","36.8 %","37.4 %","25.8 %","9218"
"Alex Bregman","Astros",".286","99","12.7 %","14.2 %",".384","22.6 %","34.3 %","43.1 %","146","90.5 %","85.7 %","32.4 %","6.5 %","19.3 %","8.3 %","10.0 %","1.20","-0.28","0.73","2.67","1.33","20.2 %","59.8 %","39.3 %","72.0 %","90.5 %","85.6 %","44.8 %","35.5 %","19.7 %","17678"
"Bo Bichette","Blue Jays",".311","11","6.6 %","23.6 %",".358","22.6 %","43.8 %","33.6 %","142","81.1 %","76.6 %","33.9 %","7.3 %","24.4 %","8.5 %","7.2 %","0.86","-1.11","0.40","0.64","-0.29","38.3 %","70.8 %","53.3 %","68.5 %","81.7 %","76.5 %","39.5 %","29.9 %","30.6 %","19612"
"Peter Alonso","Mets",".260","53","10.4 %","26.4 %",".358","18.0 %","40.5 %","41.5 %","143","83.4 %","73.2 %","32.8 %","5.5 %","17.5 %","11.0 %","9.4 %","1.93","1.45","0.26","-0.28","2.25","33.7 %","64.7 %","46.6 %","58.2 %","83.9 %","73.1 %","45.8 %","36.7 %","17.5 %","19251"
"Christian Yelich","- - -",".306","126","11.2 %","20.2 %",".388","22.2 %","54.0 %","23.8 %","142","88.0 %","77.9 %","33.0 %","4.4 %","15.3 %","9.1 %","13.2 %","1.81","1.88","0.61","0.35","0.87","26.3 %","62.3 %","42.9 %","56.5 %","88.1 %","77.7 %","35.0 %","37.6 %","27.4 %","11477"
"Kris Bryant","Cubs",".284","138","11.9 %","23.6 %",".385","21.9 %","34.5 %","43.6 %","139","81.5 %","73.1 %","33.0 %","4.8 %","19.7 %","8.0 %","11.3 %","2.19","0.97","0.51","1.15","0.97","28.1 %","72.9 %","48.0 %","51.5 %","83.2 %","72.9 %","44.7 %","33.4 %","21.9 %","15429"
"Charlie Blackmon","Rockies",".309","144","7.5 %","17.4 %",".370","24.2 %","39.2 %","36.6 %","124","90.3 %","83.3 %","40.0 %","6.0 %","14.8 %","6.8 %","11.0 %","1.29","-0.11","1.14","3.06","1.86","33.9 %","60.3 %","46.5 %","73.4 %","89.3 %","83.2 %","43.2 %","33.0 %","23.7 %","7859"
"Anthony Rizzo","Cubs",".283","147","11.5 %","14.0 %",".389","22.4 %","38.8 %","38.8 %","138","90.9 %","83.1 %","36.2 %","4.6 %","15.7 %","8.2 %","12.5 %","0.72","-0.27","0.61","1.62","1.77","32.1 %","63.9 %","46.2 %","70.9 %","90.8 %","83.1 %","44.4 %","33.6 %","22.0 %","3473"
"Cody Bellinger","Dodgers",".278","111","12.4 %","22.0 %",".368","21.6 %","35.4 %","42.9 %","140","79.5 %","73.6 %","39.4 %","5.6 %","14.9 %","7.8 %","12.7 %","1.04","0.68","1.33","1.33","1.18","28.5 %","63.7 %","44.7 %","61.7 %","80.2 %","73.8 %","45.5 %","32.9 %","21.7 %","15998"
"Randy Arozarena","Cardinals",".300","1","8.7 %","17.4 %",".391","12.5 %","56.3 %","31.3 %","138","71.4 %","76.7 %","28.6 %","5.1 %","21.4 %","18.4 %","11.2 %","5.09","-5.50","-0.89","2.74","0.55","23.9 %","63.5 %","44.9 %","90.9 %","69.7 %","75.0 %","43.8 %","31.3 %","25.0 %","19290"
