"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Seth Smith","- - -",".251","41","10.4 %","21.1 %",".338","21.3 %","44.5 %","34.1 %","110","86.6 %","77.8 %","31.3 %","5.4 %","12.4 %","9.4 %","14.4 %","0.16","0.17","-1.22","0.20","0.88","26.1 %","56.5 %","40.2 %","61.0 %","86.3 %","77.5 %","41.2 %","36.7 %","22.1 %","7331"
"Travis Shaw","- - -",".243","99","10.5 %","23.4 %",".327","19.4 %","37.7 %","42.9 %","103","85.6 %","78.7 %","37.1 %","5.5 %","13.9 %","9.9 %","11.6 %","0.67","-1.32","-1.26","0.97","1.55","30.8 %","63.0 %","45.6 %","66.6 %","85.6 %","78.7 %","41.9 %","33.2 %","24.9 %","11982"
"Jarrett Parker","- - -",".249","15","9.3 %","32.0 %",".330","17.3 %","50.4 %","32.3 %","108","81.2 %","72.3 %","36.7 %","4.9 %","14.5 %","13.1 %","11.0 %","1.81","-2.64","-2.54","-1.13","0.09","27.6 %","67.3 %","46.3 %","54.6 %","80.4 %","72.3 %","37.0 %","39.2 %","23.8 %","11624"
"Carlos Beltran","- - -",".269","62","6.9 %","17.6 %",".320","19.8 %","40.3 %","40.0 %","107","91.1 %","82.6 %","34.6 %","4.4 %","12.2 %","9.3 %","13.7 %","0.10","0.56","-0.65","-1.46","-0.22","30.9 %","63.9 %","46.4 %","65.8 %","91.7 %","82.6 %","46.6 %","32.1 %","21.3 %","589"
"Lucas Duda","- - -",".229","82","10.6 %","26.0 %",".323","22.5 %","29.9 %","47.6 %","109","85.8 %","74.6 %","31.9 %","5.2 %","14.7 %","10.7 %","13.3 %","0.52","-1.22","-0.35","-0.23","-0.24","28.1 %","60.0 %","42.2 %","54.1 %","86.7 %","74.6 %","41.6 %","32.0 %","26.4 %","2502"
"Alex Verdugo","Dodgers",".282","14","7.4 %","13.7 %",".335","22.0 %","51.3 %","26.7 %","107","91.8 %","84.7 %","40.4 %","4.6 %","15.9 %","7.3 %","11.6 %","0.88","-1.61","-0.63","-1.65","-0.47","31.0 %","58.8 %","44.7 %","68.6 %","93.4 %","84.8 %","38.6 %","36.0 %","25.3 %","17027"
"Prince Fielder","Rangers",".273","31","9.0 %","14.2 %",".348","18.6 %","45.4 %","36.0 %","103","91.3 %","79.8 %","31.4 %","5.3 %","14.0 %","9.1 %","12.6 %","-0.04","-0.69","0.51","-0.43","0.09","33.0 %","65.1 %","47.4 %","61.9 %","90.6 %","79.6 %","35.4 %","37.5 %","27.1 %","4613"
"Scooter Gennett","- - -",".281","72","5.6 %","20.9 %",".326","22.0 %","43.3 %","34.7 %","103","87.4 %","80.9 %","37.8 %","5.4 %","13.5 %","8.9 %","12.0 %","0.12","-1.28","-0.94","1.14","0.76","39.2 %","66.0 %","52.3 %","72.1 %","86.3 %","80.9 %","39.1 %","33.4 %","27.5 %","10339"
"Matt Joyce","- - -",".233","57","14.2 %","21.5 %",".345","21.3 %","38.7 %","39.9 %","108","81.4 %","74.7 %","30.8 %","4.8 %","14.0 %","10.9 %","13.8 %","1.31","-1.62","-0.68","-1.09","0.66","21.4 %","66.6 %","42.8 %","49.7 %","83.6 %","74.7 %","43.0 %","35.3 %","21.7 %","3353"
"Tom Murphy","- - -",".250","28","6.5 %","34.4 %",".301","21.6 %","33.4 %","44.9 %","102","79.9 %","68.6 %","35.5 %","6.6 %","18.5 %","7.7 %","10.5 %","0.22","-3.50","-0.60","2.09","0.05","32.6 %","65.3 %","48.4 %","45.3 %","81.1 %","68.7 %","49.0 %","29.9 %","21.2 %","13499"
"Hunter Dozier","Royals",".258","37","8.1 %","26.6 %",".320","21.7 %","37.4 %","40.9 %","105","89.5 %","74.3 %","32.1 %","7.6 %","24.0 %","8.7 %","9.6 %","0.96","-2.45","0.24","-0.63","0.00","31.4 %","64.6 %","47.0 %","47.1 %","89.2 %","74.2 %","41.2 %","33.3 %","25.4 %","15117"
"Eddie Rosario","Twins",".279","106","4.4 %","19.4 %",".309","20.2 %","39.5 %","40.3 %","105","83.0 %","77.3 %","33.2 %","4.9 %","16.7 %","10.9 %","12.1 %","-0.18","2.69","-0.40","-0.51","1.46","43.8 %","73.1 %","57.6 %","70.0 %","82.0 %","77.1 %","42.1 %","34.7 %","23.2 %","12155"
"Aaron Hicks","- - -",".245","73","12.1 %","19.7 %",".337","19.2 %","42.6 %","38.2 %","106","83.2 %","76.6 %","32.5 %","5.5 %","11.9 %","9.6 %","15.5 %","0.36","-0.91","0.56","-0.07","1.21","21.6 %","63.8 %","41.6 %","55.8 %","84.3 %","76.5 %","42.9 %","34.2 %","23.0 %","5297"
"Munenori Kawasaki","- - -",".265","0","13.3 %","18.3 %",".379","16.7 %","52.8 %","30.6 %","104","82.4 %","77.1 %","47.8 %","0.9 %","7.0 %","7.5 %","12.3 %","1.68","-1.28","-0.67","-1.61","-1.49","20.0 %","61.0 %","42.1 %","61.9 %","81.3 %","77.1 %","22.5 %","32.5 %","45.0 %","13047"
"Justin Morneau","- - -",".283","9","6.3 %","19.3 %",".330","19.3 %","48.8 %","31.9 %","101","88.5 %","79.2 %","35.9 %","4.3 %","11.1 %","7.4 %","13.1 %","-0.54","1.22","0.77","3.77","-2.08","42.7 %","69.3 %","54.3 %","68.3 %","87.8 %","79.1 %","35.8 %","37.8 %","26.4 %","1737"
"C.J. Cron","- - -",".259","103","5.7 %","22.1 %",".314","20.6 %","40.5 %","38.9 %","109","84.9 %","76.3 %","33.6 %","5.6 %","20.4 %","8.7 %","9.4 %","0.21","0.65","-1.17","1.14","-1.71","36.8 %","68.4 %","51.2 %","60.1 %","86.5 %","76.2 %","40.2 %","35.1 %","24.8 %","12546"
"Hanley Ramirez","- - -",".258","80","8.3 %","19.4 %",".326","19.7 %","47.0 %","33.3 %","102","87.2 %","78.1 %","37.9 %","5.4 %","19.1 %","6.3 %","8.3 %","-0.01","-0.79","0.62","1.03","2.24","31.3 %","68.2 %","48.4 %","59.0 %","88.3 %","78.1 %","39.2 %","36.9 %","24.0 %","8001"
"Matt Kemp","- - -",".272","99","5.9 %","22.8 %",".314","22.6 %","41.6 %","35.8 %","107","81.6 %","73.0 %","32.3 %","6.4 %","20.2 %","9.1 %","9.7 %","0.62","0.56","-1.16","-0.08","-2.38","36.7 %","72.6 %","53.1 %","58.1 %","81.9 %","73.0 %","42.1 %","35.6 %","22.4 %","5631"
"Mitch Moreland","- - -",".251","101","8.7 %","22.0 %",".321","20.2 %","43.7 %","36.1 %","101","84.6 %","74.7 %","34.2 %","5.2 %","13.7 %","10.6 %","12.8 %","0.38","0.84","0.06","0.01","-0.55","30.4 %","67.5 %","47.4 %","55.9 %","84.7 %","74.7 %","42.6 %","34.1 %","23.3 %","3086"
"Francisco Cervelli","- - -",".265","28","11.2 %","20.1 %",".362","20.0 %","49.4 %","30.6 %","106","86.6 %","79.2 %","34.9 %","5.5 %","17.1 %","8.8 %","7.9 %","0.68","1.81","-1.04","0.33","-1.07","22.0 %","59.3 %","40.3 %","59.5 %","86.9 %","79.3 %","39.8 %","34.1 %","26.2 %","5275"
"Michael Brosseau","Rays",".273","6","4.9 %","27.5 %",".319","17.2 %","39.8 %","43.0 %","108","83.3 %","76.8 %","36.2 %","7.9 %","19.8 %","7.4 %","9.8 %","0.05","-1.80","-0.53","-1.25","5.48","38.8 %","68.0 %","52.4 %","63.4 %","85.6 %","76.8 %","39.4 %","30.9 %","29.8 %","19683"
"Vladimir Guerrero Jr.","Blue Jays",".272","15","8.9 %","17.7 %",".339","17.3 %","49.6 %","33.1 %","105","87.2 %","77.3 %","32.5 %","6.3 %","24.9 %","8.0 %","9.3 %","1.47","-2.41","-2.14","0.63","0.56","30.1 %","68.5 %","46.8 %","60.2 %","86.9 %","77.2 %","41.3 %","36.8 %","21.9 %","19611"
"Brian Goodwin","- - -",".255","36","8.2 %","28.0 %",".320","22.0 %","37.2 %","40.7 %","104","83.5 %","75.0 %","36.4 %","5.4 %","13.7 %","10.3 %","14.1 %","1.39","-0.41","-0.75","0.45","-0.26","27.0 %","56.5 %","41.2 %","57.3 %","83.8 %","74.8 %","40.7 %","35.2 %","24.1 %","12858"
"Chris Parmelee","- - -",".238","6","3.6 %","26.4 %",".273","18.7 %","22.7 %","58.7 %","107","91.1 %","83.3 %","39.8 %","4.7 %","15.9 %","7.7 %","14.6 %","0.04","2.43","-3.16","-0.15","-0.04","40.2 %","60.7 %","48.9 %","77.1 %","88.8 %","83.3 %","36.8 %","36.8 %","26.3 %","2554"
"Kyle Seager","Mariners",".252","128","8.5 %","17.5 %",".322","21.5 %","34.0 %","44.5 %","110","88.4 %","81.1 %","30.9 %","4.9 %","15.2 %","10.1 %","12.3 %","0.01","-0.57","-1.19","-0.29","0.29","28.0 %","62.3 %","44.5 %","63.9 %","89.3 %","81.1 %","41.8 %","33.9 %","24.3 %","9785"
"Nick Markakis","Braves",".284","47","10.2 %","13.5 %",".359","23.2 %","46.9 %","29.8 %","103","92.0 %","88.5 %","37.9 %","4.2 %","13.0 %","8.8 %","9.3 %","0.26","-0.43","-0.30","-0.15","1.39","26.2 %","56.7 %","41.2 %","80.4 %","92.4 %","88.5 %","32.1 %","37.6 %","30.2 %","5930"
"Justin Ruggiano","- - -",".249","10","7.4 %","29.6 %",".313","18.4 %","39.0 %","42.6 %","109","75.7 %","66.4 %","33.0 %","4.2 %","18.9 %","8.2 %","11.3 %","0.01","0.48","-0.29","1.08","-0.05","28.9 %","70.6 %","49.6 %","42.6 %","76.3 %","66.4 %","49.3 %","34.5 %","16.2 %","7620"
"Chris Dominguez","Reds",".261","1","0.0 %","52.2 %",".261","0.0 %","63.6 %","36.4 %","106","76.0 %","54.0 %","32.9 %","3.7 %","15.9 %","15.9 %","3.7 %","1.37","-8.64","11.97","0.96","-13.83","55.3 %","68.6 %","61.0 %","38.5 %","70.8 %","54.0 %","45.5 %","45.5 %","9.1 %","9718"
"Jed Lowrie","- - -",".262","48","10.5 %","17.3 %",".341","24.8 %","34.0 %","41.3 %","109","88.1 %","83.1 %","37.6 %","5.5 %","10.7 %","7.7 %","11.7 %","0.01","0.99","-0.86","-0.13","2.75","27.2 %","66.6 %","46.5 %","73.1 %","87.4 %","83.2 %","38.8 %","33.7 %","27.5 %","4418"
"Teoscar Hernandez","- - -",".237","60","8.6 %","31.8 %",".304","18.6 %","38.0 %","43.5 %","106","76.0 %","66.6 %","37.6 %","4.7 %","21.4 %","7.7 %","8.9 %","-0.17","-0.63","-0.90","1.58","0.82","29.3 %","69.6 %","48.0 %","46.8 %","76.1 %","66.5 %","43.3 %","32.3 %","24.5 %","13066"
"Josh Wilson","Tigers",".316","0","0.0 %","36.6 %",".350","39.1 %","30.4 %","30.4 %","106","84.5 %","66.7 %","56.3 %","6.7 %","14.8 %","5.9 %","4.4 %","-2.63","1.35","1.15","-7.59","23.16","39.7 %","81.9 %","62.2 %","40.0 %","78.0 %","66.7 %","37.5 %","25.0 %","37.5 %","2102"
"Josh Reddick","- - -",".278","74","8.3 %","12.9 %",".335","21.9 %","37.9 %","40.2 %","108","92.0 %","85.6 %","34.1 %","5.0 %","13.0 %","9.2 %","12.3 %","-0.08","0.16","0.76","0.60","0.75","30.4 %","61.7 %","45.4 %","74.4 %","91.6 %","85.5 %","37.2 %","36.6 %","26.2 %","3892"
"Nathaniel Lowe","Rays",".263","7","7.7 %","29.6 %",".325","24.0 %","40.4 %","35.6 %","107","89.3 %","76.4 %","40.7 %","7.6 %","16.7 %","11.3 %","12.0 %","-0.14","-1.97","0.37","-1.17","0.51","30.5 %","63.3 %","45.1 %","58.0 %","87.3 %","76.3 %","34.6 %","36.5 %","28.9 %","19566"
"Jacob Nottingham","Brewers",".231","1","12.9 %","32.3 %",".355","12.5 %","43.8 %","43.8 %","102","71.1 %","66.7 %","41.3 %","4.2 %","21.7 %","4.9 %","3.5 %","-1.72","18.54","0.34","-7.76","5.32","30.4 %","51.6 %","39.9 %","58.3 %","72.7 %","66.7 %","31.3 %","43.8 %","25.0 %","16448"
"Hunter Renfroe","Padres",".235","89","7.2 %","28.1 %",".294","17.3 %","37.4 %","45.3 %","105","79.2 %","70.8 %","33.0 %","5.6 %","19.3 %","10.4 %","8.3 %","-0.32","2.53","0.12","0.17","0.96","33.2 %","64.0 %","47.2 %","56.4 %","79.9 %","70.8 %","51.1 %","32.3 %","16.6 %","15464"
"Brandon Guyer","- - -",".249","26","6.5 %","18.1 %",".346","21.6 %","41.5 %","36.9 %","106","85.2 %","79.9 %","36.2 %","4.5 %","16.4 %","6.9 %","11.5 %","-1.16","0.36","0.38","0.75","1.57","30.1 %","68.5 %","48.7 %","68.1 %","85.3 %","79.8 %","44.5 %","32.2 %","23.2 %","2636"
"Marwin Gonzalez","- - -",".269","79","7.1 %","21.3 %",".327","21.9 %","44.4 %","33.7 %","108","87.3 %","77.7 %","29.0 %","5.1 %","14.1 %","11.1 %","15.7 %","0.72","-0.29","-1.24","-0.90","0.38","32.8 %","62.2 %","46.4 %","59.8 %","88.7 %","77.8 %","44.9 %","34.5 %","20.6 %","5497"
"Adrian Gonzalez","- - -",".270","55","8.6 %","17.6 %",".335","25.3 %","41.8 %","32.9 %","109","87.3 %","79.2 %","38.4 %","5.6 %","13.4 %","7.4 %","11.1 %","0.18","-2.11","-1.56","0.49","0.04","35.0 %","67.6 %","50.1 %","65.1 %","87.5 %","79.1 %","39.4 %","33.8 %","26.8 %","1908"
"Randal Grichuk","- - -",".244","119","5.8 %","28.3 %",".294","18.8 %","37.8 %","43.4 %","105","83.6 %","72.2 %","34.0 %","5.5 %","21.8 %","9.1 %","9.3 %","0.29","1.23","-1.60","-0.25","0.91","36.6 %","68.7 %","51.4 %","54.2 %","83.3 %","72.1 %","48.9 %","30.1 %","21.1 %","10243"
"Todd Frazier","- - -",".233","141","9.7 %","22.2 %",".317","18.6 %","34.6 %","46.8 %","107","84.0 %","75.9 %","33.5 %","6.1 %","19.7 %","8.4 %","9.0 %","1.00","-0.63","-0.47","-0.72","-0.88","29.3 %","63.2 %","45.0 %","61.3 %","83.6 %","75.8 %","48.4 %","30.7 %","20.9 %","785"
"Lonnie Chisenhall","Indians",".276","28","6.9 %","18.0 %",".330","20.7 %","37.1 %","42.2 %","102","89.3 %","82.4 %","42.8 %","4.4 %","13.4 %","7.8 %","9.3 %","0.07","1.50","0.35","0.67","0.14","40.2 %","69.0 %","53.5 %","72.5 %","89.3 %","82.5 %","38.1 %","35.3 %","26.7 %","7571"
"David Bote","Cubs",".251","17","11.1 %","27.0 %",".346","21.2 %","52.8 %","26.0 %","102","81.1 %","69.6 %","37.8 %","5.3 %","20.5 %","9.3 %","7.4 %","-0.12","2.06","1.42","-1.37","2.59","30.8 %","64.1 %","46.0 %","53.7 %","78.4 %","69.4 %","38.6 %","36.0 %","25.4 %","14593"
"Neil Walker","- - -",".261","72","9.8 %","19.0 %",".338","22.9 %","38.6 %","38.5 %","106","87.4 %","79.8 %","36.0 %","4.8 %","12.1 %","8.8 %","14.1 %","0.09","0.88","-0.75","0.03","-0.09","30.7 %","64.8 %","46.4 %","65.2 %","87.9 %","79.8 %","41.9 %","35.1 %","23.1 %","7539"
"Adam Frazier","Pirates",".279","28","7.4 %","13.4 %",".342","25.1 %","45.0 %","29.9 %","103","91.6 %","86.4 %","37.1 %","5.2 %","13.4 %","9.0 %","10.0 %","0.26","-0.99","1.28","-0.10","0.89","28.3 %","64.6 %","46.9 %","74.4 %","91.4 %","86.4 %","35.4 %","33.6 %","31.0 %","15223"
"Jackie Bradley Jr.","Red Sox",".244","87","9.5 %","24.8 %",".328","18.3 %","47.3 %","34.4 %","100","79.4 %","72.4 %","35.5 %","4.9 %","15.6 %","9.4 %","12.5 %","0.52","0.51","0.03","-0.48","-0.97","28.9 %","65.3 %","46.4 %","57.5 %","79.3 %","72.3 %","44.1 %","34.0 %","22.0 %","12984"
"Jonathan Villar","- - -",".269","70","8.9 %","26.3 %",".336","20.1 %","54.1 %","25.9 %","102","80.5 %","73.8 %","37.6 %","5.5 %","10.8 %","8.2 %","14.6 %","-0.48","0.41","0.85","0.41","-0.08","27.4 %","68.3 %","46.8 %","57.1 %","80.9 %","73.6 %","37.6 %","36.9 %","25.5 %","10071"
"Willie Calhoun","Rangers",".258","24","6.4 %","17.4 %",".311","19.6 %","38.4 %","42.0 %","95","90.4 %","84.4 %","36.7 %","5.0 %","17.7 %","8.5 %","11.6 %","0.21","-2.39","-1.52","2.12","1.68","31.0 %","69.1 %","49.6 %","71.2 %","90.6 %","84.4 %","49.7 %","33.4 %","16.9 %","17838"
"Chris Carter","- - -",".211","73","11.7 %","33.0 %",".310","19.2 %","30.8 %","50.0 %","104","73.7 %","63.9 %","35.3 %","5.0 %","19.2 %","6.9 %","11.0 %","0.21","-1.97","0.84","-0.38","-0.34","24.9 %","69.0 %","45.2 %","36.8 %","75.4 %","63.9 %","39.8 %","37.0 %","23.2 %","9911"
"Hunter Pence","- - -",".270","57","7.7 %","21.1 %",".327","16.8 %","53.0 %","30.1 %","103","81.5 %","72.0 %","35.9 %","6.1 %","20.2 %","9.5 %","9.4 %","0.51","0.27","0.70","0.69","-0.47","31.8 %","67.3 %","47.5 %","57.9 %","80.4 %","72.0 %","32.5 %","37.7 %","29.8 %","8252"
"Mark Trumbo","- - -",".251","109","7.0 %","24.6 %",".305","18.1 %","41.7 %","40.1 %","104","81.7 %","72.2 %","30.9 %","6.2 %","20.2 %","8.7 %","11.1 %","1.08","-1.12","-0.75","-0.24","-0.63","35.1 %","68.7 %","50.0 %","55.5 %","82.8 %","72.2 %","38.4 %","36.6 %","25.0 %","6876"
"Marcus Semien","Athletics",".258","100","9.1 %","19.3 %",".326","20.9 %","39.3 %","39.8 %","107","87.4 %","80.0 %","32.3 %","6.4 %","20.1 %","8.1 %","10.2 %","0.69","-0.83","-0.88","0.36","0.48","24.8 %","63.5 %","44.0 %","61.1 %","87.3 %","79.8 %","43.9 %","32.7 %","23.4 %","12533"
"Jonathan Schoop","- - -",".266","116","4.0 %","22.6 %",".304","19.7 %","43.8 %","36.5 %","103","83.6 %","72.4 %","34.7 %","5.3 %","18.4 %","8.0 %","11.0 %","-0.97","2.64","-0.33","1.98","0.08","40.4 %","77.9 %","57.2 %","53.4 %","84.7 %","72.6 %","44.8 %","33.0 %","22.2 %","11265"
"Joe Mauer","Twins",".278","34","11.0 %","15.7 %",".358","25.6 %","52.6 %","21.8 %","103","92.1 %","86.6 %","41.7 %","5.6 %","13.0 %","6.1 %","9.3 %","0.56","-0.45","-0.21","0.86","-0.39","26.3 %","48.5 %","37.3 %","77.5 %","91.5 %","86.5 %","27.9 %","37.3 %","34.8 %","1857"
"Robbie Grossman","- - -",".255","32","13.3 %","19.6 %",".357","24.4 %","40.0 %","35.7 %","104","90.2 %","83.4 %","38.7 %","3.8 %","11.3 %","8.5 %","14.5 %","0.50","0.93","0.13","-0.13","0.46","20.2 %","56.1 %","38.1 %","64.8 %","90.1 %","83.4 %","36.3 %","36.2 %","27.5 %","5254"
"Jason Kipnis","Indians",".261","79","8.7 %","18.6 %",".330","22.5 %","39.1 %","38.4 %","101","90.6 %","81.8 %","37.6 %","4.7 %","14.5 %","8.5 %","10.4 %","0.57","-0.45","-1.05","0.84","-0.06","29.2 %","58.5 %","43.8 %","64.9 %","90.1 %","81.7 %","39.5 %","35.2 %","25.3 %","9776"
"Johan Camargo","Braves",".269","30","7.6 %","19.6 %",".328","20.3 %","45.3 %","34.4 %","100","84.0 %","76.4 %","34.5 %","4.3 %","12.8 %","8.6 %","17.3 %","-0.08","-2.67","0.37","0.72","0.06","36.3 %","68.1 %","51.0 %","64.0 %","84.1 %","76.4 %","40.0 %","34.0 %","26.0 %","14950"
"Brett Gardner","Yankees",".255","84","10.4 %","18.5 %",".339","20.0 %","47.0 %","33.0 %","104","91.6 %","84.6 %","41.5 %","4.4 %","11.7 %","8.1 %","9.8 %","0.31","-0.98","-0.61","-0.13","0.56","22.7 %","50.6 %","36.8 %","70.0 %","91.0 %","84.6 %","37.4 %","35.7 %","26.9 %","9927"
"Odubel Herrera","Phillies",".276","60","6.9 %","21.8 %",".333","21.3 %","45.3 %","33.5 %","102","85.6 %","75.8 %","36.6 %","4.6 %","12.4 %","9.6 %","12.2 %","0.13","-1.06","-0.83","0.01","0.21","37.4 %","65.8 %","50.6 %","61.4 %","85.4 %","75.9 %","33.5 %","35.1 %","31.4 %","11476"
"Wilmer Flores","- - -",".274","70","5.4 %","12.4 %",".317","20.8 %","37.2 %","41.9 %","106","90.0 %","86.8 %","37.6 %","5.4 %","19.7 %","7.6 %","8.4 %","-0.19","1.65","0.32","1.32","1.08","30.5 %","67.6 %","48.6 %","78.5 %","90.7 %","86.8 %","40.3 %","33.9 %","25.8 %","5827"
"Jon Berti","- - -",".273","6","7.9 %","25.5 %",".344","26.8 %","52.6 %","20.6 %","104","86.1 %","77.4 %","31.7 %","6.0 %","17.6 %","9.9 %","7.0 %","-1.13","1.59","0.69","0.62","3.15","24.3 %","57.0 %","42.2 %","58.7 %","84.1 %","77.5 %","33.9 %","37.4 %","28.7 %","12037"
"Yasmany Tomas","Diamondbacks",".266","48","5.2 %","25.4 %",".306","21.2 %","50.3 %","28.5 %","97","82.9 %","72.0 %","34.7 %","6.3 %","19.2 %","10.2 %","8.0 %","0.24","-2.68","0.15","-0.58","1.64","41.8 %","77.0 %","56.9 %","54.2 %","84.6 %","71.9 %","37.1 %","34.0 %","28.9 %","17171"
"Jay Bruce","- - -",".237","130","8.6 %","22.2 %",".303","20.5 %","33.6 %","45.9 %","103","84.0 %","74.7 %","30.9 %","5.3 %","15.1 %","9.9 %","13.7 %","0.35","-2.07","-0.05","0.88","-0.28","32.4 %","74.1 %","50.6 %","55.7 %","85.1 %","74.6 %","45.1 %","33.2 %","21.7 %","9892"
"Zack Cozart","- - -",".253","54","8.6 %","15.7 %",".322","20.2 %","38.1 %","41.7 %","100","92.0 %","84.3 %","36.1 %","5.4 %","16.6 %","8.1 %","9.1 %","0.56","2.11","-0.69","1.04","-0.32","27.4 %","61.4 %","44.3 %","67.0 %","92.0 %","84.2 %","48.6 %","32.7 %","18.7 %","2616"
"Wilson Ramos","- - -",".279","77","6.5 %","16.7 %",".325","19.5 %","56.4 %","24.1 %","103","88.3 %","79.8 %","33.9 %","4.8 %","19.4 %","7.9 %","8.9 %","0.79","0.51","0.00","0.87","-0.56","34.8 %","73.8 %","53.2 %","60.7 %","89.7 %","79.7 %","39.3 %","34.5 %","26.2 %","1433"
"Denard Span","- - -",".271","39","8.6 %","12.9 %",".338","23.4 %","47.1 %","29.5 %","104","93.9 %","88.2 %","41.8 %","4.7 %","11.6 %","7.6 %","10.2 %","-0.21","0.36","0.57","1.22","-1.00","26.2 %","59.5 %","43.3 %","74.9 %","93.6 %","88.1 %","38.5 %","35.0 %","26.5 %","8347"
"Phillip Ervin","Reds",".262","17","7.4 %","24.2 %",".326","24.7 %","37.4 %","37.9 %","98","82.3 %","74.8 %","32.4 %","6.7 %","19.3 %","10.2 %","10.4 %","1.00","0.55","-0.89","0.91","0.30","27.7 %","65.7 %","46.6 %","57.1 %","82.7 %","75.1 %","37.0 %","33.1 %","29.9 %","14738"
"Max Kepler","Twins",".238","92","9.9 %","18.2 %",".319","16.8 %","40.5 %","42.7 %","102","91.2 %","81.1 %","36.6 %","5.1 %","14.0 %","9.6 %","11.7 %","0.73","0.85","0.38","0.13","-0.49","29.6 %","61.4 %","44.5 %","62.1 %","91.3 %","81.0 %","46.4 %","31.1 %","22.5 %","12144"
"Chris Young","- - -",".242","36","9.3 %","21.8 %",".319","19.8 %","32.4 %","47.7 %","101","86.3 %","79.0 %","35.3 %","5.7 %","16.7 %","7.1 %","12.1 %","-0.38","-0.55","0.46","0.49","0.66","23.7 %","64.4 %","42.8 %","60.9 %","86.5 %","79.0 %","55.1 %","27.3 %","17.6 %","3882"
"Chad Huffman","Cardinals",".286","0","6.7 %","40.0 %",".333","50.0 %","37.5 %","12.5 %","101","85.7 %","72.0 %","31.3 %","3.0 %","28.4 %","9.0 %","3.0 %","-1.52","9.43","7.48","0.36","-12.94","26.8 %","53.9 %","37.3 %","45.5 %","92.9 %","72.0 %","50.0 %","50.0 %","0.0 %","5311"
"Eduardo Escobar","- - -",".261","97","6.9 %","19.3 %",".314","22.4 %","35.3 %","42.3 %","101","87.0 %","79.3 %","38.2 %","5.6 %","12.3 %","8.4 %","12.6 %","-0.14","0.92","0.75","0.19","-1.38","37.9 %","66.3 %","51.6 %","69.1 %","85.2 %","79.0 %","41.9 %","33.5 %","24.6 %","6153"
"Joey Butler","Rays",".276","8","5.8 %","29.7 %",".326","21.1 %","58.3 %","20.6 %","108","78.1 %","68.2 %","34.1 %","4.6 %","21.1 %","6.2 %","11.1 %","-1.73","-1.08","-1.40","1.43","3.18","33.6 %","73.3 %","52.2 %","47.6 %","79.1 %","68.3 %","27.4 %","45.1 %","27.4 %","7799"
"Cesar Hernandez","Phillies",".278","45","10.1 %","18.5 %",".355","22.7 %","50.9 %","26.4 %","100","89.6 %","81.7 %","39.5 %","4.4 %","10.0 %","9.2 %","13.5 %","0.10","0.96","1.77","-0.37","-0.63","24.1 %","60.9 %","42.4 %","58.3 %","91.0 %","81.7 %","36.9 %","34.6 %","28.6 %","10556"
"Scott Schebler","- - -",".240","61","8.3 %","23.4 %",".318","17.9 %","49.1 %","33.1 %","98","81.0 %","72.1 %","38.7 %","6.0 %","14.0 %","9.3 %","12.2 %","0.22","1.57","-0.63","-0.44","0.26","34.1 %","76.6 %","52.9 %","55.2 %","81.3 %","72.0 %","45.9 %","32.5 %","21.6 %","12225"
"Jean Segura","- - -",".292","59","4.8 %","13.5 %",".333","19.1 %","53.8 %","27.0 %","102","92.6 %","85.9 %","36.2 %","5.8 %","17.8 %","7.5 %","7.7 %","0.11","-2.41","-0.12","1.93","-0.12","34.3 %","63.6 %","48.7 %","73.9 %","92.3 %","85.8 %","31.4 %","39.4 %","29.2 %","5933"
"Evan Gattis","Astros",".245","96","6.6 %","21.1 %",".298","17.9 %","40.7 %","41.4 %","107","85.3 %","77.2 %","31.6 %","6.0 %","18.5 %","10.8 %","10.7 %","0.33","-1.19","-0.09","-0.23","0.39","33.6 %","66.2 %","48.1 %","64.6 %","85.0 %","77.1 %","44.8 %","33.6 %","21.7 %","11003"
"Mike Napoli","- - -",".220","81","11.5 %","29.7 %",".317","16.5 %","37.4 %","46.2 %","97","79.6 %","72.0 %","38.1 %","4.8 %","17.4 %","5.1 %","10.1 %","-0.90","0.80","0.34","2.93","0.43","24.5 %","63.0 %","43.3 %","52.9 %","79.9 %","72.0 %","46.3 %","33.2 %","20.6 %","3057"
"Matt Adams","- - -",".247","82","6.8 %","25.7 %",".301","20.4 %","35.3 %","44.3 %","100","84.3 %","73.9 %","32.6 %","4.9 %","14.5 %","8.8 %","14.6 %","0.14","-0.43","-0.35","-0.65","-0.70","39.2 %","67.9 %","51.5 %","59.9 %","84.6 %","73.8 %","45.1 %","31.9 %","23.0 %","9393"
"Avisail Garcia","- - -",".273","82","6.1 %","23.5 %",".325","21.5 %","50.0 %","28.5 %","104","82.6 %","69.9 %","34.0 %","6.6 %","18.7 %","8.2 %","9.4 %","0.45","0.52","0.33","-1.35","-0.37","40.5 %","79.0 %","57.6 %","48.7 %","83.5 %","69.9 %","40.7 %","36.3 %","23.0 %","5760"
